YearMonth,Close_USD
2021-01,125.17561340332031
2021-02,125.5143051147461
2021-03,127.12064361572266
2021-04,134.492919921875
2021-05,132.94285583496094
2021-06,141.36004638671875
2021-07,145.34683227539062
2021-08,151.4481964111328
2021-09,142.85301208496094
2021-10,154.15614318847656
2021-11,157.20533752441406
2021-12,158.96694946289062
2022-01,145.1259765625
2022-02,138.7886962890625
2022-03,144.99008178710938
2022-04,125.49518585205078
2022-05,123.54862213134766
2022-06,112.3260498046875
2022-07,126.55206298828125
2022-08,120.1459732055664
2022-09,107.42835235595703
2022-10,111.7274398803711
2022-11,117.97088623046875
2022-12,107.27462005615234
2023-01,118.72388458251953
2023-02,118.30274963378906
2023-03,129.5536651611328
2023-04,130.21115112304688
2023-05,140.42747497558594
2023-06,149.36622619628906
2023-07,155.2139129638672
2023-08,152.7568817138672
2023-09,145.1079864501953
2023-10,142.0760955810547
2023-11,157.45211791992188
2023-12,166.2882080078125
2024-01,169.3171844482422
2024-02,178.27586364746094
2024-03,180.59796142578125
2024-04,172.67967224121094
2024-05,183.74151611328125
2024-06,195.16900634765625
2024-07,191.85195922851562
2024-08,194.1491241455078
2024-09,199.17303466796875
2024-10,197.4674072265625
2024-11,208.04830932617188
2024-12,208.9962615966797
2025-01,213.5049285888672
2025-02,207.8144989013672
2025-03,191.9950408935547
2025-04,194.8100128173828
2025-05,212.61492919921875
2025-06,226.22373962402344
2025-07,231.67263793945312
2025-08,233.90396118164062
2025-09,246.46807861328125
2025-10,258.27685546875
2025-11,254.22755432128906
2025-12,254.69091796875
