Date,QQQM
2021-01-04,122.95986938476562
2021-01-05,123.94196319580078
2021-01-06,122.23420715332031
2021-01-07,125.26273345947266
2021-01-08,126.88822937011719
2021-01-11,124.9917984008789
2021-01-12,124.95306396484375
2021-01-13,125.6303939819336
2021-01-14,124.95306396484375
2021-01-15,123.9468002319336
2021-01-19,125.81422424316406
2021-01-20,128.75564575195312
2021-01-21,129.80068969726562
2021-01-22,129.44264221191406
2021-01-25,130.26512145996094
2021-01-26,130.66177368164062
2021-01-27,127.18820190429688
2021-01-28,127.79778289794922
2021-01-29,125.17561340332031
2021-02-01,128.2428436279297
2021-02-02,130.34732055664062
2021-02-03,129.86837768554688
2021-02-04,131.25201416015625
2021-02-05,131.77450561523438
2021-02-08,132.59695434570312
2021-02-09,132.56793212890625
2021-02-10,132.23895263671875
2021-02-11,132.9830322265625
2021-02-12,133.8064422607422
2021-02-16,133.43873596191406
2021-02-17,132.7808074951172
2021-02-18,132.2196044921875
2021-02-19,131.5519561767578
2021-02-22,128.25253295898438
2021-02-23,127.87522888183594
2021-02-24,128.92015075683594
2021-02-25,124.36286926269531
2021-02-26,125.5143051147461
2021-03-01,128.64926147460938
2021-03-02,126.55925750732422
2021-03-03,122.93086242675781
2021-03-04,120.86021423339844
2021-03-05,122.86312866210938
2021-03-08,119.2540512084961
2021-03-09,124.08226776123047
2021-03-10,123.55977630615234
2021-03-11,126.53992462158203
2021-03-12,125.41753387451172
2021-03-15,126.7914810180664
2021-03-16,127.45909118652344
2021-03-17,127.97191619873047
2021-03-18,124.11127471923828
2021-03-19,124.60475158691406
2021-03-22,126.88811492919922
2021-03-23,126.22937774658203
2021-03-24,124.1949691772461
2021-03-25,123.98185729980469
2021-03-26,125.8806381225586
2021-03-29,125.60935974121094
2021-03-30,125.17344665527344
2021-03-31,127.12064361572266
2021-04-01,129.22283935546875
2021-04-05,131.8481903076172
2021-04-06,131.6495819091797
2021-04-07,132.01290893554688
2021-04-08,133.3788299560547
2021-04-09,134.17318725585938
2021-04-12,134.066650390625
2021-04-13,135.5972900390625
2021-04-14,133.940673828125
2021-04-15,135.95571899414062
2021-04-16,136.19790649414062
2021-04-19,134.9676055908203
2021-04-20,133.93099975585938
2021-04-21,135.04507446289062
2021-04-22,133.53384399414062
2021-04-23,135.1419677734375
2021-04-26,136.01385498046875
2021-04-27,135.32603454589844
2021-04-28,134.8997802734375
2021-04-29,135.4228515625
2021-04-30,134.492919921875
2021-05-03,133.82443237304688
2021-05-04,131.56724548339844
2021-05-05,131.00534057617188
2021-05-06,131.99349975585938
2021-05-07,133.13661193847656
2021-05-10,129.75567626953125
2021-05-11,129.57159423828125
2021-05-12,126.19059753417969
2021-05-13,127.12064361572266
2021-05-14,129.9978790283203
2021-05-17,129.13568115234375
2021-05-18,128.22503662109375
2021-05-19,128.50592041015625
2021-05-20,130.8988037109375
2021-05-21,130.13351440429688
2021-05-24,132.36160278320312
2021-05-25,132.61349487304688
2021-05-26,133.04945373535156
2021-05-27,132.61349487304688
2021-05-28,132.94285583496094
2021-06-01,132.5360107421875
2021-06-02,132.7491455078125
2021-06-03,131.35409545898438
2021-06-04,133.64041137695312
2021-06-07,134.00852966308594
2021-06-08,134.0279083251953
2021-06-09,134.1441192626953
2021-06-10,135.50526428222656
2021-06-11,135.83946228027344
2021-06-14,137.0823974609375
2021-06-15,136.33352661132812
2021-06-16,135.791015625
2021-06-17,137.5057373046875
2021-06-18,136.3916473388672
2021-06-21,137.26661682128906
2021-06-22,138.55673217773438
2021-06-23,138.55673217773438
2021-06-24,139.41033935546875
2021-06-25,139.31336975097656
2021-06-28,141.02056884765625
2021-06-29,141.4765167236328
2021-06-30,141.36004638671875
2021-07-01,141.36004638671875
2021-07-02,142.95089721679688
2021-07-06,143.52320861816406
2021-07-07,143.80450439453125
2021-07-08,143.01882934570312
2021-07-09,143.8917999267578
2021-07-12,144.48353576660156
2021-07-13,144.47381591796875
2021-07-14,144.70663452148438
2021-07-15,143.6978302001953
2021-07-16,142.55319213867188
2021-07-19,141.4085693359375
2021-07-20,143.03822326660156
2021-07-21,144.06646728515625
2021-07-22,145.08493041992188
2021-07-23,146.68548583984375
2021-07-26,146.88914489746094
2021-07-27,145.30804443359375
2021-07-28,145.83184814453125
2021-07-29,146.08404541015625
2021-07-30,145.34683227539062
2021-08-02,145.337158203125
2021-08-03,146.21983337402344
2021-08-04,146.44296264648438
2021-08-05,147.36447143554688
2021-08-06,146.72430419921875
2021-08-09,146.99581909179688
2021-08-10,146.2489776611328
2021-08-11,145.987060546875
2021-08-12,146.5205535888672
2021-08-13,147.02496337890625
2021-08-16,147.10256958007812
2021-08-17,145.802734375
2021-08-18,144.40591430664062
2021-08-19,145.08493041992188
2021-08-20,146.5884552001953
2021-08-23,148.76124572753906
2021-08-24,149.25599670410156
2021-08-25,149.34332275390625
2021-08-26,148.47996520996094
2021-08-27,149.89617919921875
2021-08-30,151.59371948242188
2021-08-31,151.4481964111328
2021-09-01,151.71981811523438
2021-09-02,151.66160583496094
2021-09-03,152.11752319335938
2021-09-07,152.33090209960938
2021-09-08,151.81683349609375
2021-09-09,151.28329467773438
2021-09-10,150.1580810546875
2021-09-13,150.0417022705078
2021-09-14,149.61489868164062
2021-09-15,150.70130920410156
2021-09-16,150.80801391601562
2021-09-17,149.06198120117188
2021-09-20,146.04779052734375
2021-09-21,146.0963592529297
2021-09-22,147.4752655029297
2021-09-23,148.81533813476562
2021-09-24,148.99984741210938
2021-09-27,147.8151092529297
2021-09-28,143.7657928466797
2021-09-29,143.39682006835938
2021-09-30,142.85301208496094
2021-10-01,143.7464141845703
2021-10-04,140.81373596191406
2021-10-05,142.62965393066406
2021-10-06,143.6007537841797
2021-10-07,144.86309814453125
2021-10-08,144.15420532226562
2021-10-11,143.05699157714844
2021-10-12,142.57139587402344
2021-10-13,143.668701171875
2021-10-14,146.3293914794922
2021-10-15,147.27134704589844
2021-10-18,148.7376708984375
2021-10-19,149.7960968017578
2021-10-20,149.65045166015625
2021-10-21,150.59237670898438
2021-10-22,149.310546875
2021-10-25,150.85455322265625
2021-10-26,151.2624053955078
